change,path,old_blob_sha,new_blob_sha,bytes
ADDED, ..✅ BOSONIC_TIME.pdf,,97fbce27cd89e7f02ca3a8b1bee252216b12ce38,250131
ADDED, ..✅ SAT CORE.pdf,,f85665fc8ec4676dd7b22ebc716d356185c8cac2,175392
ADDED, ..✅ SATOBLOC_pre_lean.pdf,,f972c65ce1fa7756162cf1c3a6592b8581d8f728,143792
ADDED, ..✅ Satobloc Core.pdf,,de4a1eaffebcbd080d37061dbdde973744e2eb0f,252893
ADDED, ..✅ WANNA BOUNCE?.pdf,,482d782b4ce2690b95be143b5785dfb0fdfbd936,670811
ADDED, O Addendum Proto-Candyface + Antiquer Mashup.txt,,3a5811591332e36229e4390db05b4f13b86d9e6b,30410
ADDED, R Addendum Proto-TankAudrey.txt,,a24bff60e3b188942cb898f3679e047e9f35373f,34308
ADDED,!_ANNOTATED_ARCHIVE_SURVEY.md,,8c948d877a75b0d249ec0ca8d68423c9f2bd378b,3976
ADDED,###. THEORY REFINEMENT SUMMARY.pdf,,5abace7272ec0beba2de95e56224938065c87bfa,488381
ADDED,% BIG PAPER (nolat).pdf,,a2a74337b2fe0579c744b91708eb3bd4265685e8,39860
ADDED,...2026_H(s)H_FORMULATION/gitignore.md,,af852ab5265c12968617861ec46ac129d8228001,86
ADDED,...H(s)H_2026_FORMULATION,,68951077b8e7c44a33c7684a759f4da0c0c06d01,26
ADDED,..MARCH_2026_NOLAT_PACKET_BIBLIOGRAPHIC_NOTE.txt,,d98f3132c7e3cda8a324a0eff7fb533e3bf68ec6,7895
ADDED,..MATHEMATICAL_REPOSITORY,,1b6876db3f871bfa25157ac024d66d8239082ff1,28347
ADDED,..MATHEMATICAL_REPOSITORY_ADDENDUM_2026-06-09.txt,,63913eb25d884bbc4bbcb7bd3c2141bbfe7f85aa,11377
ADDED,..[🎛️_NATHAN_DASH]/!_DASHBOARD.md,,4783eeb2000d104883c57a7eb25ccedc45800d41,11812
ADDED,..[🎛️_NATHAN_DASH]/..Derivation_Index.md,,57f4829f218d606be523ddaa8badf8dc4f8dc496,12884
ADDED,..[🎛️_NATHAN_DASH]/..findex.txt,,30581ef70f989c78a068562e241aafb70d7950be,361
ADDED,..[🎛️_NATHAN_DASH]/TASKWORKS/HsH_Pipeline_Design.md,,82f1a968aa993d518af9d8663cabe77d264c1c86,1951
ADDED,..[🎛️_NATHAN_DASH]/TASKWORKS/Preplantricist_role.md,,6aeafe86119e67226f963be6208077bdb2e1f7e3,4114
ADDED,..[🎛️_NATHAN_DASH]/xscrape.py,,6e87a9729aa6f5982cb7138bd483037a9a8df23c,2432
ADDED,..[🎛️_NATHAN_DASH]/⚒️_ADMIN_TASK.txt,,f29ef3f822da599dfe60fce863d2b43ba70c5e56,496
ADDED,..[🎛️_NATHAN_DASH]/⚒️_FOLDER_INDEXER.txt,,3d55c1937006de1d5a188856517bf7034cb9a068,461
ADDED,..[🎛️_NATHAN_DASH]/⚒️_NATHAN_EXT.txt,,44d76c045af2af15e30822622ce2842fc5a3f8a2,74
ADDED,..[🎛️_NATHAN_DASH]/⚒️_PREDICTION_EXT.txt,,069052beb1383d4abcf4d53398d137fca651f9b9,52
ADDED,..[🎛️_NATHAN_DASH]/⚙️_LESSONS_LEARNED.txt,,b5674ec2486aa101a6d839659220f6c3ac6b9740,2722
ADDED,..[🎛️_NATHAN_DASH]/📋_PRIORITY_TODO.txt,,24673091a8fe14b03a2472bdd867332ae62e8aa7,678
ADDED,..[🎛️_NATHAN_DASH]/📖_PROJECT_NOTES.txt,,f06586a433fe3d43d11f0012c83918ab1519006a,153
ADDED,..[🎛️_NATHAN_DASH]/📖_SAT_ARCHIVE_READING_PLAN.txt,,de485ae9d5c525c279811d6526338099154d9310,7891
ADDED,..[🎛️_NATHAN_DASH]/🗄️_ARCHIVE_INDEX.txt,,9c7030549f20b56b7c875b10b2e5eeefd956ae74,568267
ADDED,..[🎛️_NATHAN_DASH]/🚩_IGNORE_REDACTION_FLAGS.md,,cea335d3465922df336c5789d8fa15c83bf748d4,2655
ADDED,..[🎛️_NATHAN_DASH]/🧹_CLEANUP.txt,,b62836a4f878b9e7166fbd0975cb1c4c02d80e13,34
ADDED,..findex.txt,,420e489e9827727b0a55b6f8310c21f714b6780a,193181
ADDED,.AI_READING_PLAN/IGNORE_READING_PLAN,,68c8bb76137b8826d93ff3e3915a6bcb38560d4a,379
ADDED,.AI_READING_PLAN/READING_PLAN.md,,7bb2cebdb2a895480b92f5137d347d3fbf395d45,8622
ADDED,.AI_READING_PLAN/TODO.md,,2069725a5a5b83306e2e1581149beb21a4934ab2,4690
ADDED,.Satobloc_Pub[Under Construction]/.gitkeep,,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,0
ADDED,.[⚙️_AI_FILES]/..findex.txt,,1c456c66f159feca61eb4b374bd45860745c4c1e,5148
ADDED,.[⚙️_AI_FILES]/ARCHIVE_CONVOS/gitignore.txt,,8b137891791fe96927ad78e64b0aad7bded08bdc,1
ADDED,.[⚙️_AI_FILES]/BLIND_DRY_RUN_REPORT,,7d23367bbcd71d4eda180083a7325f6179fd2c03,21868
ADDED,.[⚙️_AI_FILES]/BLIND_DRY_RUN_REPORT_CONTINUATION_2026-06-09,,188277969ec12147802b0cdf748eefe3d2372e12,8798
ADDED,.[⚙️_AI_FILES]/CONFIG/folder_indexer_full_archive.txt,,6b39c18d17eb6b716474f706cf1bdfe27549b6d2,659
